,Ticker,Last_Year_RD
351,BA,3812000000.0
354,TXN,1959000000.0
362,CSCO,7983000000.0
363,CSGP,325300000.0
364,UIS,25200000.0
365,MMM,1085000000.0
366,MPAA,9995000.0
367,EW,1053000000.0
371,PCTY,178333000.0
375,TMO,1390000000.0
383,CXM,91292000.0
388,ALB,86720000.0
390,PPG,423000000.0
392,NBR,57063000.0
395,MSFT,29510000000.0
397,ZBH,437400000.0
401,NFLX,2925295000.0
402,SYK,1466000000.0
403,XRX,191000000.0
408,BGNE,1953295000.0
409,COHU,84797000.0
413,TFX,161672000.0
416,CRM,4906000000.0
418,MCHP,1097400000.0
419,RPRX,2000000.0
422,MSCI,158653000.0
423,AMD,6456000000.0
427,RMD,307525000.0
432,EPC,58400000.0
435,FTV,414000000.0
438,MDT,2735000000.0
440,ADBE,3944000000.0
443,LRCX,1902444000.0
445,HAE,54435000.0
447,PCAR,452900000.0
448,U,924830000.0
449,EMN,250000000.0
450,QCOM,8893000000.0
453,CRNC,121563000.0
458,ITGR,53425000.0
460,DOW,810000000.0
466,AMRX,196559000.0
467,BSY,281247000.0
472,RUN,39304000.0
474,DD,531000000.0
476,NEM,197000000.0
481,ANSS,528014000.0
487,QRVO,682249000.0
488,ROG,34600000.0
499,ZTS,686000000.0
500,SMG,34600000.0
501,A,479000000.0
505,ELAN,344000000.0
506,MASI,222800000.0
507,BC,169600000.0
508,OPEN,141000000.0
509,ALV,398000000.0
510,CMI,1463000000.0
511,GE,1286000000.0
513,CNDT,6000000.0
517,ENR,31600000.0
524,VNT,177700000.0
530,TXT,491000000.0
541,CSL,35400000.0
545,XYL,232000000.0
547,HON,1536000000.0
550,ENTG,316111000.0
553,PUBM,33263000.0
554,OGN,469000000.0
555,TTMI,31845000.0
559,PTC,433047000.0
560,PII,336900000.0
562,IDXX,219792000.0
563,IFF,671000000.0
565,RTX,2934000000.0
569,LHX,515000000.0
573,DXCM,552400000.0
578,PLPC,22481000.0
580,MRK,17938000000.0
585,MTD,189357000.0
590,QLYS,111852000.0
594,SSNC,473800000.0
595,NVT,66100000.0
596,TRMB,664300000.0
597,CNMD,54426000.0
598,CRCT,65048000.0
603,ZBRA,563000000.0
605,CRWD,768497000.0
607,ABT,2844000000.0
608,NOW,2543000000.0
609,IRTC,103830000.0
614,HQY,218811000.0
615,SPR,47500000.0
616,RNG,329323000.0
619,PNR,93600000.0
622,CTVA,1402000000.0
627,TDC,284000000.0
633,CSGS,158194000.0
634,OC,144000000.0
635,ABBV,12791000000.0
639,LLY,10990600000.0
640,ITT,116300000.0
642,INTC,16546000000.0
645,ETWO,101420000.0
647,CPB,102000000.0
649,CE,130000000.0
651,NVST,99100000.0
655,HOLX,272800000.0
656,SYNA,336300000.0
657,AOSL,89940000.0
660,CTS,23388000.0
661,NOVT,95515000.0
662,MTX,23000000.0
664,FMC,278000000.0
665,AI,201365000.0
669,WOLF,201900000.0
670,CLX,126000000.0
671,CIEN,767497000.0
676,XRAY,165000000.0
679,GRMN,993601000.0
680,EA,2420000000.0
681,KLIC,151214000.0
693,LYB,135000000.0
702,SLB,749000000.0
708,LSCC,159302000.0
713,CDNS,1549093000.0
724,GDDY,814400000.0
725,HUBS,778714000.0
726,INTU,2754000000.0
730,CRSR,67543000.0
734,SRI,71075000.0
737,EXTR,211931000.0
745,WST,69100000.0
752,HAS,294100000.0
753,AXTA,74000000.0
760,TTD,463319000.0
764,SNPS,2082360000.0
767,ZLAB,234504000.0
771,MSA,66526000.0
774,DCI,93600000.0
781,AMGN,5964000000.0
783,CBT,63000000.0
786,IPGP,109783000.0
788,EBAY,1479000000.0
790,PAR,58356000.0
798,CGC,4611000.0
800,MANH,137689000.0
801,HIMS,78819000.0
803,NEO,31159000.0
807,VIR,506499000.0
813,FTNT,716800000.0
814,BMY,11159000000.0
815,WY,7000000.0
816,ANIP,44581000.0
817,STAA,53973000.0
820,NVDA,12914000000.0
822,MRVL,1896200000.0
824,TDY,292600000.0
828,MYGN,88700000.0
830,EXPI,58182000.0
831,HWM,33000000.0
834,GDYN,18347000.0
839,CMPR,321968000.0
841,KEYS,919000000.0
842,UCTT,28300000.0
852,JKHY,148256000.0
858,FTI,73400000.0
859,FOXF,60314000.0
867,KODK,34000000.0
875,SWI,108599000.0
885,NEOG,22476000.0
895,AIN,46097000.0
897,AKAM,470876000.0
902,CVLT,132328000.0
904,MTCH,442175000.0
909,BMRN,747184000.0
913,PODD,219600000.0
914,WWD,140676000.0
915,DT,304739000.0
916,IMCR,222151000.0
920,TDOC,307274000.0
922,WAT,183027000.0
924,MKSI,271000000.0
926,STE,103679000.0
930,PLUG,113745000.0
932,VIAV,201900000.0
938,APPF,160375000.0
939,EXAS,431210000.0
940,HXL,57100000.0
942,ENVX,124506000.0
945,KAI,14318000.0
946,OMCL,90412000.0
951,GILD,5907000000.0
953,AMCR,106000000.0
954,IOSP,47800000.0
960,PLAB,16576000.0
967,GNTX,181475221.0
970,NTNX,638992000.0
971,SNBR,55797000.0
976,PRGS,146342000.0
978,OEC,27100000.0
989,FA,63817000.0
991,FARO,40056000.0
992,SKIN,10102000.0
993,VRNT,133804000.0
999,GGG,87230000.0
1000,TER,460876000.0
1012,WK,192935000.0
1015,SEDG,277237000.0
1018,GNRC,219600000.0
1026,ESI,63000000.0
1028,TWI,16520000.0
1030,BIO,295900000.0
1037,ASH,55000000.0
1040,TNC,43800000.0
1041,CRTO,279341000.0
1043,HAYW,25778000.0
1044,MLKN,92600000.0
1049,ALSN,200000000.0
1053,OSUR,33728000.0
1060,NET,421374000.0
1063,IOT,258581000.0
1066,AAOI,54955000.0
1067,SSD,92167000.0
1069,TNET,68000000.0
1075,MSTR,118486000.0
1077,IMAX,5103000.0
1079,BCPC,16793000.0
1084,COMP,188800000.0
1092,PRLB,41298000.0
1105,ITRI,215034000.0
1115,OFIX,73643000.0
1116,AMPH,73741000.0
1121,HP,40967000.0
1122,PATH,332101000.0
1127,BRC,67748000.0
1131,ESTA,19706000.0
1136,ALTR,221161000.0
1137,BILL,336754000.0
1139,CGNX,139815000.0
1145,SPSC,62809000.0
1152,PD,139769000.0
1157,FUL,49565000.0
1162,VRTX,3630300000.0
1165,OSPN,38420000.0
1166,BYND,39530000.0
1168,FLGT,48816000.0
1172,ANET,996717000.0
1180,QTWO,143244000.0
1181,PRO,89725000.0
1183,UTHR,481000000.0
1186,MRNA,4543000000.0
1191,NVRO,54418000.0
1198,ROKU,720145000.0
1199,SUPN,108796000.0
1201,BRKR,294800000.0
1202,VREX,87000000.0
1205,FORM,121938000.0
1209,RGEN,42722000.0
1217,PCOR,312987000.0
1235,FFIV,490120000.0
1236,SMAR,234071000.0
1239,IART,115377000.0
1240,VRNS,196765000.0
1241,SITM,106855000.0
1243,ATRC,96178000.0
1244,S,218176000.0
1245,CMCO,26193000.0
1246,RCKT,171244000.0
1247,CUTR,21408000.0
1249,SNOW,1287949000.0
1254,YEXT,72040000.0
1257,FLWS,60235000.0
1258,NTAP,1029000000.0
1269,ETSY,443056000.0
1270,PRGO,112200000.0
1271,MDB,515940000.0
1272,BLFS,18796000.0
1273,CARS,113931000.0
1277,CDNA,72405000.0
1281,MIR,35000000.0
1282,PINC,3115000.0
1283,HCP,222553000.0
1285,ADTN,258311000.0
1286,SLAB,332225000.0
1287,MX,51563000.0
1289,BWXT,7478000.0
1304,IAC,323687000.0
1311,DBD,93600000.0
1312,OLED,157187000.0
1316,MDGL,236718000.0
1319,CC,109000000.0
1323,MXL,225189000.0
1328,ACIW,146677000.0
1331,CRON,4229000.0
1343,SHYF,16319000.0
1345,TWST,90852000.0
1346,ESTC,341951000.0
1347,JAZZ,884000000.0
1349,MLAB,19300000.0
1352,NKLA,208160000.0
1355,DLB,263663000.0
1360,QNST,30045000.0
1361,META,43873000000.0
1368,LNN,17123000.0
1370,AMBA,215052000.0
1372,BRZE,119863000.0
1383,LNTH,168098000.0
1385,INCY,2606848000.0
1386,INSG,20596000.0
1392,NGVT,28100000.0
1393,ORCL,8915000000.0
1394,PSTG,736764000.0
1397,AVNW,36426000.0
1398,CHGG,170431000.0
1399,RLAY,319089000.0
1400,GWRE,269381000.0
1403,DV,153046000.0
1409,LASR,45107000.0
1410,NVAX,391169000.0
1412,AA,57000000.0
1414,TOST,351000000.0
1415,PL,116339000.0
1419,HALO,79048000.0
1429,SHEL,1287000000.0
1432,GMED,163754000.0
1436,NBIX,731100000.0
1437,VERX,66666000.0
1441,CALX,179870000.0
1443,SCL,55674000.0
1445,TGTX,76192000.0
1451,PHR,112346000.0
1452,EXEL,910408000.0
1454,VRSN,96700000.0
1464,DOMO,85049000.0
1468,GTLB,200840000.0
1473,PBI,31957000.0
1474,AVPT,48699000.0
1483,EVRI,67633000.0
1485,NYT,248198000.0
1501,CMTL,24077000.0
1504,GKOS,136425000.0
1508,OPK,89593000.0
1512,DDOG,1152703000.0
1513,POWL,9427000.0
1516,HLIT,120975000.0
1518,KTOS,40300000.0
1519,LIVN,182514000.0
1520,TMDX,55968000.0
1522,QS,382971000.0
1525,RNA,303593000.0
1529,EGHT,136216000.0
1533,SCWX,110996000.0
1535,LCID,1176453000.0
1541,ADPT,122117000.0
1544,SIRI,296000000.0
1546,BL,100973000.0
1548,PRCH,55274000.0
1549,FGEN,282861000.0
1550,REGN,5132000000.0
1551,INFN,300437000.0
1552,IRBT,144087000.0
1553,IRDM,28422000.0
1556,ACLS,105497000.0
1558,RMBS,162881000.0
1569,MITK,34642000.0
1570,MP,9307000.0
1574,FLYW,66636000.0
1575,SPCE,152678000.0
1578,VSAT,150653000.0
1579,TENB,181624000.0
1580,BMBL,100725000.0
1582,RCUS,448000000.0
1586,ITCI,236121000.0
1590,WKHS,24467933.0
1591,ONTO,116767000.0
1593,AVAV,97687000.0
1599,CRUS,426475000.0
1600,CTKB,39402000.0
1604,SWBI,7266000.0
1612,SPT,102794000.0
1614,BIGC,80879000.0
1619,TBLA,142438000.0
1623,MNKD,45893000.0
1624,ZNTL,189590000.0
1625,PCVX,476644000.0
1627,PRPL,11898000.0
1628,CERT,37105000.0
1629,FR,1529000.0
1630,EAF,5706000.0
1631,FCEL,55404000.0
1637,MRUS,225368000.0
1638,MVIS,56707000.0
1641,RAMP,151201000.0
1642,AXGN,27767000.0
1644,FSLY,137980000.0
1647,UDMY,125438000.0
1649,RVNC,79410000.0
1652,MTSI,182158000.0
1655,NTLA,466311000.0
1657,PTCT,534480000.0
1665,VECO,124507000.0
1666,JAMF,138961000.0
1668,UPWK,209283000.0
1669,QTRX,26064000.0
1670,UPLD,49375000.0
1671,ASPN,18050000.0
1676,EB,95283000.0
1679,ZI,196100000.0
1682,ILMN,1169000000.0
1688,HSII,22698000.0
1689,INSM,598367000.0
1690,IONS,901530000.0
1693,OM,38397000.0
1694,PAYC,242600000.0
1695,QURE,214864000.0
1696,YOU,73352000.0
1697,AXSM,187077000.0
1703,GDRX,123749000.0
1709,RBBN,179941000.0
1715,TG,3761000.0
1718,DELL,2801000000.0
1723,LPRO,5575000.0
1725,NARI,87533000.0
1727,OFLX,3868000.0
1728,RARE,697865000.0
1729,CLDX,163550000.0
1738,PI,98829000.0
1739,ALNY,1126232000.0
1740,AUPH,20785000.0
1747,PCRX,81577000.0
1750,RXRX,314421000.0
1751,ACRS,98384000.0
1757,XNCR,227686000.0
1761,TCMD,8832000.0
1766,PRCT,62298000.0
1771,ENTA,131476000.0
1775,SSTK,88417000.0
1778,FOLD,109362000.0
1779,FROG,160864000.0
1785,LMAT,15650000.0
1795,NEU,124898000.0
1796,PCT,6436000.0
1797,PGEN,48614000.0
1799,RVMD,592225000.0
1810,LXFR,4400000.0
1816,RGNX,232266000.0
1818,ARVN,348200000.0
1819,BB,186000000.0
1821,DVAX,61550000.0
1827,GOOG,49326000000.0
1829,MGNI,95243000.0
1831,ORA,6501000.0
1832,ORGN,21351000.0
1834,RVP,581172.0
1836,ACCD,99159000.0
1838,ATEN,57726000.0
1839,BW,8444000.0
1843,FUBO,67675000.0
1845,IDCC,196903000.0
1846,IRWD,116085000.0
1851,ANGI,95360000.0
1857,DHX,18883000.0
1875,GOGO,36683000.0
1876,MAX,19764000.0
1879,NTCT,161213000.0
1886,CWEN,0.0
1887,TVTX,282701000.0
1895,MGNX,166583000.0
1899,SNDX,163032000.0
1901,ACAD,303249000.0
1902,ADAP,126509000.0
1903,AMSC,7991000.0
1904,TTGT,11143000.0
1905,CEVA,71616000.0
1910,FRSH,164590000.0
1912,GPRO,165688000.0
1913,JOBY,477156000.0
1916,OPAD,4524000.0
1917,PRTA,222519000.0
1921,STEM,56508000.0
1922,ARAY,49732000.0
1925,DNLI,396440000.0
1930,RPD,176776000.0
1931,RYTM,237957000.0
1933,ZD,67373000.0
1938,CARG,144432000.0
1943,GEVO,21369000.0
1945,PACB,187170000.0
1947,SAVA,89423000.0
1955,ALRM,255878000.0
1957,COIN,1468252000.0
1966,BPMC,341433000.0
1967,CERS,58907000.0
1971,LICY,5700000.0
1973,LPSN,124792000.0
1974,LXRX,58887000.0
1976,SDGR,201785000.0
1980,CHRS,109436000.0
1982,CSTL,52041000.0
1991,KYMR,240248000.0
1996,SAGE,225895000.0
2000,XPER,191352000.0
2003,CDXS,58885000.0
2008,PLTR,507878000.0
2012,BAND,118627000.0
2020,ERII,16236000.0
2021,HRMY,145825000.0
2022,MRVI,17280000.0
2023,MTTR,60931000.0
2024,OLO,68483000.0
2025,ORGO,50271000.0
2027,RELY,269817000.0
2031,NTGR,81082000.0
2035,AKRO,247497000.0
2037,AMRN,22219000.0
2038,ARCT,192133000.0
2039,ATEX,5697000.0
2044,LGND,21425000.0
2046,XMTR,39322000.0
2047,VMEO,109373000.0
2048,RKLB,174394000.0
2049,SGMO,234057000.0
2051,URG,20396000.0
2054,DMRC,26209000.0
2058,KURA,169967000.0
2061,NKTR,114162000.0
2063,RIGL,24522000.0
2065,UI,159768000.0
2067,AGIO,301286000.0
2070,EDIT,177651000.0
2072,KIND,127939000.0
2074,AKBA,63079000.0
2076,GBIO,93617000.0
2083,SLP,5754000.0
2084,TLS,12247000.0
2087,HEAR,17137000.0
2089,DOCN,142499000.0
2090,KPTI,143232000.0
2091,LYEL,182945000.0
2093,NVCR,209645000.0
2094,PBYI,54935000.0
2097,SMTC,186450000.0
2101,EXPE,1314000000.0
2102,FF,4398000.0
2107,MRSN,148269000.0
2108,SNAP,1691683000.0
2109,TREE,47197000.0
2111,CDXC,4958000.0
2112,HOOD,818000000.0
2113,PAYO,134631000.0
2114,PEN,94783000.0
2117,VICR,67857000.0
2118,AVXL,41838000.0
2119,FIVN,166197000.0
2120,PTON,304800000.0
2124,HSTM,48890000.0
2125,MEIP,16561000.0
2126,MRCY,101328000.0
2130,ADVM,77676000.0
2131,CDLX,51352000.0
2132,CPRX,12648000.0
2133,DASH,1168000000.0
2134,EXFY,24638000.0
2136,RBLX,1444207000.0
2138,SVRA,44262000.0
2142,ABCL,167259000.0
2144,CXDO,4860000.0
2145,DBX,914900000.0
2147,LWLG,15903689.0
2150,PDFS,53566000.0
2152,VUZI,12339534.0
2153,AMWL,86065000.0
2156,QUIK,6448000.0
2157,SRPT,804522000.0
2161,INVA,13654000.0
2162,LAZR,262217000.0
2163,TRUP,31255000.0
2165,ZIP,134831000.0
2166,AEVA,102503000.0
2168,AVDL,13261000.0
2170,COUR,132048000.0
2171,DUOL,235298000.0
2173,RDFN,163927000.0
2176,PINS,1240564000.0
2178,OKTA,656000000.0
2180,TTWO,948200000.0
2181,VEEV,629031000.0
2182,ABNB,2056000000.0
2183,BOX,248767000.0
2184,DNA,424061000.0
2185,DOCS,81983000.0
